Yucky. The mauve looked like a papaya colored shade and I did not like the formula. It is very creamy but not very long lasting.  I felt like the formula made the lines in my lips more obvious. I can understand how others might prefer it. Just not for me.,2.0
"This is a shade of lipstick I have worn for many years.  I was glad to find it on Amazon (at a great price) because it's not always easy to find in the store.  This is a very creamy, rich feeling lipstick without being greasy.  It's shimmery without being sparkly or iridescent.  I recommend this as well as the Ice Blue Pink for a light pink sheen and soft feel.  I get compliments on it all the time.",5.0
"I’m a senior lady and enjoy being able to find this lipstick on line.  It’s my basic tint, tho I do sometimes change.  I find ordering on Amazon very convenient, saving me trips where I may not locate the color I want.  Cover Girl products are reliable and the price is fair.",5.0
"Best Lipstick ever, can only get it online. OK because it's less expensive on Amazon - Thanks!",5.0
I would say my lips are generally pretty moist and not dry. I applied lip balm before the lipstick and my lips still dried out and started peeling! Disgusting,1.0
"I am fair skinned with light auburn hair, this lipstick is the perfect color for me. I have ordered it a few times and will continue to order it when I run out of it.",5.0
Could no longer find this particular lipstick in drug stores. Have used it for years. Glad to have it!,5.0
"I have worn this for years. It is getting harder and harder to find, so if you like a true pink with a little shimmer, give it a try. I LOVE it, and it has become my personal signature lip color for 20 years.",5.0
Best color ever offered by Covergirl. It looks good on a multitude of people and colorings. Love it!,5.0
I really love this lipstick!  Too bad I can't find it in CVS anymore.,5.0
"This color is hard to find, so we got a few when they popped up on Amazon as an add-on. The color is pretty and can be easily made lighter or darker with repeat swipes, unlike other colors that look odd if they are applied with a heavy hand. The color wipes off pretty easily and will need to be reapplied throughout the day.",5.0
Cover girl lipstick is my wife's favorite so she was glad when she found them on Amazon and at a reasonable price.,5.0
Would be five stars if it was a little less 'frosted' but I really like this brand and color.,4.0
"The color was lighter than I wanted or expected, but that is to be expected when purchasing from a picture on the web.  The next time I purchase this lipstick, I'll order a darker shade.",4.0
"been using this for years, good coverage & stays put when eating",5.0
"This lipstick is a good color for me and I use it more than other tones I have purchased. It is creamy enough that it keeps my lips from becomingdried and cracked in the cold, dry times of the year but the color also lasts well. Will continue to buy as long as it is available.",4.0
This lipstick went on smoothly and lasted a long time. Wonderful!!!,5.0
"This is a Wonderful  color, light enough to lessen a darker color, and yet, dark enough to be something all on it's own!  I use this with City Lips Lip Plumper (which Is AMAZING!!) Clear w/Sparkle.  This lipstick is smooth and has no real fragrance or taste, which is important to me.",4.0
Love this color!!  Looks great with my skin tone!,5.0
I've used this great lipstick for years. Great product and hard to find. I love the color.,5.0
I love this color. It is very complementary to a 60 year old woman with medium light skin. It is the color of rosy lips and looks great with all colors of clothing.,5.0
it's not as smooth as other lipstick I have in that it doesn't cover the lines on my lips and kind of amplifies it.,4.0
Quick delivery and product as described,5.0
My wife is happy with the product.,5.0
Fast shipment.......good product.  Thank you.,5.0
Liked it a lot. It doesn't dry my lips.,5.0
Wish they made it in 12  hour...,5.0
Doesn't stay with you but pretty color,3.0
Didn’t care for the color,1.0
no problems. came as expected,5.0
The only shade I wear,5.0
I get compliments about my lips all the time. This is part of the reason. It makes your lips look plumper.,5.0
