I have used this product for years.  It leaves my face feeling soft and moist.  Gives it a healthy look and minimizes fine lines.  I let it take a few minutes to absorb into skin and then moisturize.,5.0
Great for revitalization of skin that has gone thru chemo!!,5.0
good,5.0
Tried a pricey sample and really liked this product.  Found and ordered online saving $$.  I would use this website/seller again.  Very satisfied.,5.0
I like it a lot. I'm not sure if it has done what I expectd but my expectations might have been high.  Certainly over time there is a difference in skin color and conformity.,4.0
Its quality is very good as you know. It is too small to be surprised that I only saw the photo on the web.,4.0
Didnt notice any change nor radiance or suppleness,3.0
"This is great! I used it before I went yo bed. After a month, my skin gets much better than before.",5.0
Seems healthful for my face and less expensive than the larger bottle!,5.0
"Great size for the purse or travel. If you like Estee Lauder and travel like we do, you will definitely want to get this.",5.0
My wife has used this product for years and loves it.,5.0
fine product,5.0
No results.,2.0
this is fabulous! i love this product and recommend it highly!,5.0
Love the product. Fast shipping and a great price too.,5.0
great!,5.0
works and not greasy. pleasant on the face,4.0
"Great product, great costumer service",5.0
Using this product for sometime.  Never disappoints.,5.0
not original product it seems,2.0
good deal and nice product,5.0
love the stuff,5.0
great price,5.0
good product,5.0
good,5.0
Great small size,5.0
"A gift for some Chinese friends. Estee Lauder is the Gold Standard for cosmetics in China, and my friends are so beautiful, it must be working!",5.0
Wife loves this product. She says it works great. 4th purchase...,5.0
Love this!  Have used it for years.  It's excellent for night time use.,5.0
Happy this was available for a gift to my wife.,4.0
Very useful thing. The one that I really want.,5.0
exactly what I Wanted for my wife !,5.0
Like the wY it feels on face.,5.0
great value.,5.0
it was a gift. i assume it was good because i received no complaints,5.0
"I have to be honest here, I was very disappointed. It was runny and did not do much for me unless I used half the bottle.",2.0
"Maybe it’s just me, but I do not like the scent of this product. It isn’t repulsive by any means, but I find it strange. The formula is liquid, but not runny, and it doesn’t feel oily or greasy on my skin. It absorbs quickly, and my skin feels very soft and moisturized after use. I must say however - if you are an ingredient conscious person I do NOT recommend this product. There are a few ingredients which are questionable. Most notably, Ethylhexyl Methoxycinnamate, which is limited in levels by the FDA, but it is a known endocrine disruptor and has been linked to breast cancer. I’m sure the amount in this product is at or below the limit of 7.5% by the FDA, but why take a chance? This is one of the ingredients that is recommended to avoid use whenever possible. Then again, if you’re not someone who cares much about ingredients, then I see no issue with the formula’s feel and moisture!",2.0
I have used this product for several years. I'm always being told I look younger than I am. I was asked for my i.d. at Costco  recently to buy wine. Never before has this happened.  Not bad for a 59 year old woman. 😆😆😆,5.0
"with just one application, u can see and feel the difference. your skin looks hydrated. i first tried in the morning, but noticed that my face was a bit oily after a few hours, but then again i live in tropic country and also tried a new brand of moisturizer and sunblock (olay regenerist and avene sunblock), but after i blotted, my face looks fresh again. I guess, for me it would be ideal to use it only at night.one thing i didnt like with this size and packaging, though its good for travelling, is that it has no dropper, u have to be extra careful not to accidentally dispense too much or spill any drop of this goody. other than that i love this and cant wait to see how it would shrink my pores, and refine my skin :)",5.0
I think these might have been expired or something; I've used this full-sized before and it worked versus these which did nothing.,2.0
I first received it as a sample in a beauty box and loved it. I dont think it is going to help with wrinkles or deep line but is goos for keeping the under eye moisturized and also prevents under eye puffiness. Next time I will prefer the pump bottle as I first got in sample as the product in these bottle appears to be thinner in consistency.,4.0
I've used Night Repair since it first came out in the early 80s.  I'm 67 years old and people think I'm in my 40s.  I couldn't live without it.,5.0
After using this product for a month my skin now is glowing and its like a peach skin so i recommend to everyone.Also its quite cheap if you charge a full bottle of 30ml one.,5.0
GREAT bargain!,5.0
"I've been a fan of this product for quite a few years now. Despite trying newer night serums I've always come back to this one, the duo's a bargain!!!",5.0
Love it!,5.0
Good product,3.0
"Great for problematic skin.  I normally don't write reviews.  Just pure laziness lol .. but this one, I must say it's really a great product.  I have large pores and pimples and acne scars and uneven skin layer.  This product works magic.  It really repaired my damaged skin.  A must buy.",5.0
"These are marked as ""not for individual sale""",2.0
Love this product! It revitalizes my face and neck.,5.0
What can I say LOVE LOVE LOVE  I look better every day and I am 77 years old.  Will get it in bigger size next time.,5.0
Love it,5.0
How cute these sizes are! Thank you so much!,5.0
good,5.0
softens and firms my face! GREAT STUFF!!!!!!!!!,5.0
"Not work for me. skin feels pain at first, no obvious change to the skin look. The skin feel extra dry after applying it Alone. Need moisture after this.",2.0
Has made such a difference in my skin!  It truly works.,5.0
These are free samples marked 'not for individual sale!!',1.0
This irritated my skin.  Not sure why.  Never had a problem with EL products before.,1.0
I feel this a great product. It gives an added extra oomph. I use it in place of the crème sometimes.,5.0
"Trial sized marked not for individual sale, must have come in a gift set.",3.0
I love it.,5.0
Didn't work wast of money,1.0
Too small presentation. I think i buy something big.,2.0
