Great product. Estee Lauder  delivers again.,5.0
Love all estee Lauder products.,5.0
I LOVE THIS ONE,5.0
Excellent product.,5.0
Yes. I have always used and like Estee Lauder,4.0
"Great product, price was right for the size",5.0
best night cream,5.0
Love this!,5.0
It's an expensive product but one that I like to keep on hand when I really want to pamper myself. It's like putting rose pedals on your face.,5.0
I've used this product for a few years now and love it! It's so creamy and makes my skin feel great! The product came right on time and was packaged well.,5.0
Wonderful cream; just as described. Price is awesome for the size of jar. I'll definitely be repurchasing.,5.0
EXCELLENT,5.0
Very pleased to get this item. It is perfect size for traveling!!  I will probably order this item again.,5.0
love the way it felt on my skin,5.0
Good product and good seller.,5.0
It's very perfect 👍,5.0
Too small than I thought,5.0
Love this cream,4.0
Good,5.0
"This goes on nicely, and it absorbs well while leaving my skin feeling smooth, not greasy..a little goes a long way too.I felt like this brightened my complexion and helped lighten my post acne marks and dark spots, it also didn't break me out which is a huge plus.I'm 34 so while I have a small amount of wrinkles I cant say for sure this helped with them. I apply this nightly after the serum.",4.0
I received this cream today without a box and it was open?????,1.0
Loved it as a moisturizer nut saw no difference in wrinkles.,3.0
As usual it's ESTEE LAUDER what else do I need to say. The ESTEE LAUDER products are the best for all of my skin care needs. I purchase whatever I can though Amazon. Being a Prime Member is a great advantage to shopping for all of my skin care needs through Amazon.,5.0
Same as you would buy from Dillards just a little to small but worth the price!,4.0
Felt like Vaseline...Heavy. Wondering if this is original.????,2.0
Don’t waste your money on something else for your faceThis is the best of the best immediately you will see the changes on your face,5.0
This product feels like it has sand/dirt particles in it. I highly doubt it's authentic as I've purchased authentic Estee Lauder in the past & never had the product feel like this!!,1.0
"I liked it. Seems it's just the same as what you get at the store counter, only alot less $$$",5.0
This is by far the best moisturizer I have used!,5.0
I love Estee Lauder products!,5.0
Good value,5.0
"This doesn’t come in the original box, it looks authentic but how would I know.  I have ordered it several times and will continue because of the price and it seems to do what it advertises.",2.0
I have been using this product for years now and am very happy with the results and I have very dry skin!  Thank you!,5.0
"This stuff is good, but I pay to much for a sample you give for free maybe 😒",1.0
"Don't buy this product, inside has stuff like sand",1.0
Package arrived open and missing product,1.0
Really small  sample,3.0
"I have just started using this cream and so far, I am satisfied with it.",4.0
Siempre uso esta línea,5.0
This is an excellent product for very dry skin.  I will be reordering!,5.0
Outstanding!!!! Thank you sooo much!!!,5.0
