"I purchased my first Estee Lauder product in the mid-1990's and have been using it ever since. It is by far the best skin care line I have ever used, and I've tried almost everything that Macy's sells. The Advanced Night Repair leaves my skin feeling soft, smooth and it appears plumped and glowing versus dry and tight. I LOVE Estee Lauder products....try this sample gift pack yourself, you'll never use anything else.",5.0
"Lots of products in one purchase. Bought as gift for wife , she love it. case is nice to store and easily transported when we travel. So much easier for a guy to find and purchase here than to look around box store and hunt for it in the maze of makeup. Great quality as you would expect from an Estee Lauder named product. Recomend this to any guy needing a gift for his SO",5.0
"this was not the value i expected, and then it became available as gift with purchase,not a good way to do business",1.0
"Let the girlfriend get it for herself and she loves it.  You must read the description, some people were confused on what all you get with this.  Don't skip that part.",5.0
"This was a outstanding purchase.  Have not used all the products as of this review, but have already ordered the Revitalizing cream.  A little bit goes a long way.  Would recommend this skincare makeup gift set to give to others or keep for yourself.  The cosmetic bag is roomy and designed nicely.",5.0
I ordered this and it was not as advertised. I got one thing of blush and I did not get the eyeshadow at all. Will not recommend!,1.0
"Love, love, love this. Works perfect for travel. Had been buying these off ebay.",5.0
Did NOT send as pictured! The Estee Lauder Resilience Lift Firming Sculpture cream was NOT in the bag!!,1.0
Same as other reviews... what is pictured is not what you get.,2.0
Too much money for what you get,2.0
this is a great starter kit and would make a real nice gift for some one just starting out with make up and skin care or a special women or girl in your life.,5.0
missing half of the make up : (,1.0
No eyeshadow in nine piece order.,1.0
blush missing,4.0
Everything that was supposed to be in here was in here. I am enjoying the lipsticks. I'm in the military and they are,5.0
Great piece for a gift!,4.0
two items missing in a set ..,1.0
Fun assortment.,5.0
Did not get everything that was in picture.  No mascara or eyeshadow,3.0
so so,1.0
great companion gift to estee lauders '  private collection,5.0
"Excellnt packaging, Beautiful bag and all the Estee auder items lvely.  Will buy a lot mre from ths seer. Very nicel packaged and great product line.",5.0
I bought this as an anniversary gift for my wife.  She found that there was lots of useful stuff in the add-on Makeup Kit.,5.0
Not as pictured. No blush in package.,2.0
The blush is not included😐😑🤕😔,1.0
"Only cosmetic brand my momr has used in decades. She could easily buy it herself, but she allows me the easy choice annually at Christmas.  At almost 80 it always looks perfectly natural, easily applies, and generously last the whole year.  She loves tropical heat and humidity, but it never drips, smears, discolor, deform, or comes off until she removes it.  Each year's currently fashionable colors always match her complexion.  With another purchase, sometimes without, cost is small for even a small amount of make-up, but this is a large variety and count of fill sized lipsticks, mascaras, blushes, eyeshadows and pencils.",5.0
Don't like the lip sticks in this set or the eyeshadow but the creams and washes are great with the mascara.,4.0
I like this pack very much. All the bad reviews are people who go don't know how to read a product description very well. There are a few items that says random choice. Hello! TSTL.,5.0
Love the product but I didn't receive everything in the picture.  There weren't any blushes.,2.0
"Some of the images of these samples look much bigger than their actual size, which makes it disappointing.",2.0
"My mom loved this gift last Christmas. It contains a nice selection of EL products, and the makeup bag is extra pretty, with a luxurious feel, status print, and charm.",5.0
"Nice deal, just not my colors!",4.0
"this item was a rip off. In the picture it looks like your getting alot for your money, and it would make a great christmas gift. I was totally embarrassed when my wife open up the gift and said this is a free gift bag, that is given out free when making a purchase of Estee Lauder products. The proof to this is that the items in the bag said on them, items not for sale. I have always trusted Amazon, but in the future I will definitely be more cautious when making my purchases.",1.0
"Pictures can be deceiving, appears you get more then you really do",3.0
Very nice!!,4.0
Incomplet,2.0
I received the packge But It isn't same the picture.there don't have Eye shadow in the packge.I don't know why,3.0
I enjoyed purchasing my Estée Lauder items via Amazon. All components were present and the parcel arrived as promised. Thanks.,5.0
Great women's gift.,5.0
