Love it! I've gotten sooooo many compliments it's crazy!Love how the smell is sweet but not too obnoxiously feminine.It's now become my daily go-to perfume. Will definitely buy again when I run out.,5.0
"Must be watered down, scent only lasts a minute :(",2.0
Good product. Just as described.,5.0
"It was just what I ordered, but arrived  with a broken top.Company replaced with out charge.I will order again.",4.0
"This fragrance always lifts my spirits--fresh, not too heavy, feminine.  Love it!",5.0
"very nice smell, but didn't seem to last as long as I expected",4.0
Love this......,5.0
"It arrived on time and the smell is really good. However for some reason the perfume has caused me a serious rash... This has never happened to me before with any type of perfume..  In addition, it really doesn't last very long (minutes I would say)...",2.0
I have had this perfume for many years and loved it so much i wanted to buy it again. I received the package and the smell is very nice but does not smell like my previous bottle. It is the same brand and name but does not smell the same. It a pleasant smell either way i just wish it smelled the same.,3.0
Love it,5.0
she smell good..,4.0
"This is my all time favorite perfume! EVERY TIME I wear this someone compliments me saying ""I smelled you as soon as you walked in"" It smells very sophisticated without giving it the ""old person smell"" Very classy and elegant, will not be wearing another perfume for a long time",5.0
This is one of my favorite fragrances. I love the way it smells.,5.0
"I love this scent and was VERY disappointed when the sprayer got stuck in the cap after only one month. I was able to remove the spray top and put it back on the bottle, but it wouldn't spray. The seller was very prompt in addressing this problem and we are currently in the return/refund process. Take a chance, maybe you won't get a dud like I did.",2.0
"This perfume is just amazing!!!! It smells sooo soooo good, i can't describe how it smells like exactly but it's very very sexy and very long lasting. I always get so many compliments when i am wearing this perfume. I strongly recommend it !!!!!! Thank you Amazon ❤️",5.0
Love it and price was great.,5.0
Exactly what I wanted!  And arrived earlier than expected!,5.0
Just as remembered!  Thank you,5.0
Like I,4.0
"We received fake perfume. It doesn't smells like actual perfume. It was shiped from and sold by Amazon.com. I wish i can get refund, we opened the bottel when return date was passed.",1.0
Just alright! Smell great but doesn't last long as I would expected!,3.0
My favorite scent of all time,5.0
I enjoy using Sensuous for several years now. It's  has a wonderful smell. I just think it is great!,5.0
Would not buy this again. Waisted my money. This is my favorite perfume from department store. Thought I would give it a try and buy online. Smells terrible. I would give it 0 stars,1.0
Bought this for my mom because every time we went to the mall at macy’s She’ll spray her self,5.0
This just wasn't for me.  It smelled better on the lady in the store.  Too strong for me.  I don't know what the others who said it wore off were talking about.  I smelled it all day.  Maybe they are so used to it they can't smell it.,2.0
great,5.0
The best perfume I have ever smelt! I get more compliments then any others I've ever used,5.0
I asked a co-worker what she was wearing as she walked by because she smelled so good. I quickly got online and purchased this for my wife and she and I really like it. This is a good size bottle for the price. A win-win for me - I'll take it  ;,5.0
I was very pleased the size was enormous and the price great! The stem that is in the bottle goes to the very bottom. I get every drop out that  is just another plus to this perfume. Its my favorite I've worn it for six years.❤,5.0
Way less than retail.  I love it !,5.0
Always scary to buy perfume online since there's always the fear you'll end up with an imposter.  This one was the real stuff and smells great.,5.0
Bought it for my mom last Christmas and she asked for it again this year.. loved it!,5.0
This was a gift to my Daughter in law. I gave it 5 stars because I buy it for her every year and she still loves it.,5.0
"I'm on my third bottle of this wonderful and SENSUOUS cologne/perfume.  Everywhere I go people ask me what fragance I'm wearing.  I get compliments all the time.  Even my 19 yr. old granddaughter wants me to get it for her as a Christmas gift. I wear perfume anywhere I go, even to the grocery store.  I just love perfume and enjoy smelling good.  I use Sensuous as my daytime and casual pefume and use a different one for night time (Euphoria).  Daytime perfume should have a soft, mild scent and Sensuous is just like that.  I LOVE IT!",5.0
Old fragrance still sold for way too much in select department stores. Great price!,5.0
It was a gift and she loves it. Received very quickly and am very happy with product.,5.0
"Beautiful fragrance!  Always get compliments when I wear it.  Every ""girl"" (or Grandma) needs that once in a while.",5.0
Always loved this scent. I get allot of compliments wearing this perfume! :),5.0
I love it.,5.0
Smells great and a way better bargain than you can find at department stores.,5.0
I bought this cologne for a friend for Christmas and she loves it.,5.0
Great price for a great product.  Highly recommend this seller,5.0
Been a favorite for long time. Was glad to know I could have it delivered since I have moved away from big stores.,5.0
This is my wife's only fragrance and has a unique scent that many people ask her for the name of it.  Through Amazon I saved $30 over the department store price.  That's a deal maker for me.,5.0
Everything it was supposed to be. However I could not get it delivered to Alaska.  Could be missing some sales,4.0
Wife loves it,5.0
The fragrance was not as long lasting as if brought out of the department store,5.0
Light a pleasant and excellent price.,5.0
